UMLS code of SE,all proteins
C0015695,ADRA2B@inh HTR1D@inh PTAFR
C0018790,DRD5@inh HTR5A KCNH2
C0024236,CYP19A1 CYP19A1@inh
C0027707,CYP1A2 CYP1A2@inh
C0031099,DRD2@act DRD3@act DRD4@act DRD5@act HTR2A
C0041105,CHRM1 DRD3@inh DRD4@inh HTR2C
C0235437,HTR2C HTR2C@act
C0728899,PTAFR TBXA2R
C0013144,CHRM4 HRH4
C0014457,CYP1A2 CYP1A2@inh
C0022354,CA12 CA14 CA5B CA6 CA7 CA9
C0232333,CALML3 CALN1 KCNH2 KCNH2@inh
C0476089,CYP19A1 CYP19A1@inh
C1140680,CYP19A1 CYP19A1@inh
C0001623,NR3C1 NR3C1@act
C0009806,CYP2C9
C0013604,CYP2C9
C0025323,CYP2B6@inh CYP3A4 SLC6A4 SLC6A4@inh
C0028084,ADORA3
C0038354,HTR4
C0042487,CYP19A1@inh CYP3A4 CYP3A5
C0043144,HRH1@inh HRH3
C0034065,HTR1B@inh HTR1D@inh HTR2C@inh HTR6@inh
C0042267,HTR1F
C0002622,CYP1A2 CYP2B6@inh CYP2C9
C0002622,HTR1B HTR1D HTR1D@inh HTR1E HTR1F HTR2C HTR2C@inh
C0006840,CYP3A4 CYP3A4@inh
C0015672,HTR1B HTR1D
C0015967,CYP2C9 CYP3A4 CYP3A4@inh CYP3A5
C0033860,ADRA1A@inh CYP2D6 SLC6A4
C0041747,CYP2B6@inh SLC6A4 SLC6A4@inh
C0162830,ADRA2A@inh CYP2D6 HTR1A@inh HTR2C HTR2C@inh
C0231218,HTR1A@act HTR1B@act HTR1D@act
C0231530,CYP2B6
C0851578,CYP3A4 CYP3A4@inh
C0005940,CYP2D6 CYP2D6@inh
C0021368,TOP2A TOP2A@inh
C0026858,ESR1 ESR1@act ESR1@inh
C0029134,CYP2C9 CYP2C9@inh
C0033893,ADRA2B ADRA2C DRD1 DRD2@act DRD3 DRD4 DRD5 HTR1B HTR1D HTR2B HTR7
C0085633,CYP3A4 CYP3A4@act
C0149931,HTR2B HTR2C HTR2C@inh
C0162830,CYP3A5 CYP3A7
C0235234,DRD2@act DRD3@act DRD4@act DRD5@act HTR1B HTR1D HTR2B
C2242996,HTR1A@act HTR1B@act HTR1D@act
C0002884,ADRA1A@inh ADRA1B@inh ADRA2A@inh ADRA2B@inh DRD1 DRD1@inh DRD2@act DRD5 DRD5@inh HTR1A@inh HTR1D@inh HTR2B HTR2C@inh PTAFR SLC6A4
C0020452,ADRA2A
C0085628,OPRK1 OPRK1@act
C0085641,CYP2B6 CYP2B6@inh CYP3A4
C0151828,HTR1D@inh OPRK1
C0151907,CYP2B6@inh
C0393760,ADRA2A HTR7 SLC6A4
C0015376,TYMS TYMS@inh
C0021053,CYP1A2
C0027769,SLC6A2 SLC6A3 SLC6A4 SLC6A4@inh
C0031542,TOP2A TOP2A@inh TOP2B TOP2B@inh
C0036508,ADRA2A DRD1 DRD1@inh DRD5 HTR2A HTR2C HTR2C@inh HTR7
C0085611,GLRA1 GLRA2 GLRA3
C0151836,DRD1 DRD2 DRD2@act DRD3 DRD4 DRD5 HTR2B HTR7
C0280100,CYP3A4@inh CYP3A5
C0392025,ADRA1B@inh ADRA2A@inh HTR1A@inh HTR1F HTR2B HTR2C HTR2C@inh HTR7
C1536403,TOP2B TOP2B@inh
C0012569,CACNA1B CYP1A2
C0015402,CYP3A5
C0019521,CYP3A4
C0020578,SLC6A4 SLC6A4@inh
C0020578,HTR1B HTR1D HTR1F HTR2C HTR2C@inh
C0030252,CYP2C9 PTGS2@inh
C0041582,CYP2B6@inh CYP3A4 CYP3A4@inh
C0042023,HRH1@inh
C0240557,NR3C1
C0344307,OPRD1 OPRD1@act OPRM1 OPRM1@act
C2225524,CYP1A2 DRD3
C0014869,DRD2@act DRD3@act DRD4 DRD4@act DRD5@act HTR1A@act HTR1D HTR2B HTR7
C0020557,CYP3A7
C0021053,HTR2B
C0032226,CYP1B1
C0040261,ADRA1B@inh ADRA2A@inh ADRA2B@inh CYP2D7P1 HTR1A@inh HTR2B HTR2C@inh
C0042075,CYP3A4
C0042571,PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0264886,SCN5A SCN5A@inh
C0277925,ADRB1 ADRB1@inh
C0427008,ADRA2A@inh CYP3A4 HTR1D HTR2A HTR2B HTR2C HTR2C@inh SLC6A4
C0542571,CYP2C9 CYP3A4 CYP3A4@inh
C0877046,DRD2@act HTR2B
C1720775,UGT1A1
C0012813,ACHE@inh BCHE@inh
C0021167,CYP3A4 CYP3A4@inh CYP3A7
C0038379,GABRA1 GABRA2 GABRA3 GABRA5 GABRA6 GABRG1
C0151889,CHRM3 CHRM5@inh
C0013298,CYP2C9 CYP2C9@inh
C0018790,OPRM1 OPRM1@act
C0018801,SCN5A SCN5A@inh
C0020517,CYP3A5 CYP3A7
C0234233,ADRB1 ADRB1@inh ADRB2
C0235146,CYP3A7
C0242350,CYP2B6@inh CYP2C9@inh
C1291077,CYP2C19
C0002994,CYP1A2 CYP1A2@inh CYP2C8 CYP3A4
C0013456,SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0016436,CYP2B6@inh
C0018418,ADRA1D@inh
C0018790,SCN5A SCN5A@inh
C0028081,HTR2A HTR2B HTR2C SLC6A4
C0028778,CHRM1 CHRM3 CHRM3@inh CHRM4 CHRM5@inh
C0043094,CYP2C19 CYP2C9 CYP3A4@act
C0149937,CYP1A2 CYP1A2@inh
C0152128,SIGMAR1
C0233407,OPRD1 OPRD1@act OPRK1 OPRK1@act OPRM1@act
C0233407,CHRM5 CHRM5@inh
C0404521,DRD2@act DRD3@act DRD4@act DRD5@act
C0409974,CYP2C9 CYP2C9@inh FMO1
C0000833,CYP2B6@inh CYP2C9
C0003123,CYP2D6@inh SLC6A4 SLC6A4@inh
C0003537,CYP2D6 HTR1A@act HTR1D HTR2A HTR2B HTR7
C0003862,HTR1B HTR1D HTR1F HTR2B
C0005745,ADRB1 ADRB2 CYP2D7P1
C0019054,CYP2C9@act
C0023067,HTR2B HTR2C HTR2C@inh
C0029132,PDE5A PDE5A@inh
C0039971,HTR1B@act HTR1D@act HTR1E HTR1F
C0242528,PTGS1@inh PTGS2 PTGS2@inh
C0242698,CYP3A7
C0302295,NR3C1
C2981158,CYP2D6@inh LDLCQ3 LDLCQ3@inh
C0011053,ADRA1B@inh ADRA2A HTR2C@inh
C0013595,CYP1A2 CYP2B6@inh CYP2C9
C0030794,CYP2D6@inh SLC6A4
C0032617,CYP2B6@inh CYP2C9
C0234913,CYP2D6 CYP2D6@inh CYP3A4
C0014457,DRD2@inh DRD3@inh DRD5@inh
C0268000,ESR1@act
C0520966,OPRK1@act
C2240374,HTR2C@inh
C0006444,HTR2A HTR2C HTR2C@inh
C0012833,CYP3A7
C0020458,CYP2D6 CYP2D6@inh HTR1A HTR2A HTR2B HTR2C HTR7
C0042514,CYP1A2@inh
C0085635,DRD1 DRD1@act DRD4@act DRD5 DRD5@act HTR2C
C0221100,GABRA1 GABRB1 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP GABRR1 GABRR2 GABRR3
C0242350,SLC6A2@inh SLC6A3
C0003962,CYP3A4@inh CYP3A7
C0022116,HTR1B@act HTR1D@act
C0085633,CYP2C19
C0235309,ADRA2A ADRA2B ADRA2C HTR1D HTR2A HTR2B HTR2C HTR6 HTR7 SLC6A4
C0553724,CYP3A5
C0851341,CYP2D6 CYP3A4 HTR2C@inh
C0039591,SLC6A2 SLC6A2@inh
C0085632,CYP2C19@inh
C0086439,CYP2B6
C0151706,CYP1B1 NR3C2
C0206062,LCK
C0232431,SLC6A2 SLC6A2@inh
C0392176,SLC12A3 SLC12A3@inh
C0497327,ADRA2A DRD4@act DRD5@act HTR7
C0687713,PTGS2@act
C1287298,PTGS2@act
C1287298,TOP2B TOP2B@inh
C0002453,CYP3A4@inh
C0013404,ADRB1
C0016867,CYP2B6@inh
C0027932,CYP2B6@inh CYP2D6 SLC6A4@inh
C0149745,CYP2B6@inh CYP2C9 CYP3A4@inh
C0151662,HTR2C@inh PTAFR TBXA2R
C0542571,ADRA2A@inh CYP2D6 CYP2D6@inh HTR2A HTR2B
C1260880,HTR2A HTR2A@act
C0003811,CYP1A2 CYP2C9
C0024902,ESR1@act
C0085606,ADRA2A@inh HTR1F HTR2C HTR2C@inh
C0151825,HTR1F
C0002957,HTR1A@act HTR2B HTR2C
C0013491,CYP2B6@inh SLC6A3
C0018834,CYP1A2@inh CYP2C8
C0028259,CYP2C8 LDLCQ3 LDLCQ3@inh
C0038990,HTR1D HTR2B HTR2C@inh
C0040822,CYP3A7
C0042998,CYP19A1 CYP19A1@inh ESR1@inh
C0232495,ADRA2A HTR2B HTR2C
C0243065,GSTA1
C0264511,HTR2C@inh
C0423602,PTGFR
C1510410,HTR1B@act HTR1D@act MAOA
C0002878,CYP2C8
C0027627,CES1
C0041912,CYP3A4 SLC6A4
C0042571,CYP2D6@inh SLC6A4
C0232602,CYP2C19@inh
C0344232,ADRA2A HTR2A
C0018418,CACNA1G CACNA1I CYP3A5
C0019340,CYP2C9
C0032227,LCK
C0040188,CHRM1 HTR1B@inh HTR2C HTR6 HTR6@inh
C0151773,CYP2C19 CYP2C19@inh
C0917801,DRD3@inh HTR1A HTR2C HTR6 HTR7
C0006384,KCNH2
C0009782,HTR2B HTR2C HTR2C@inh SLC6A4
C0013132,ADRA2B ADRA2B@inh
C0013132,BCHE@inh
C0019080,TOP2A TOP2A@inh
C0020757,CYP1B1@inh
C0022893,HRH1@inh
C0023890,LDLCQ3 LDLCQ3@inh
C0035258,HTR2C SLC6A4
C0039520,ADRA2A@inh HTR1A@inh HTR2A HTR2C@inh
C0085637,CALM1 CALML3 CALN1
C0152115,CYP1A2 DRD3@inh DRD4@inh DRD5@inh
C0227791,CYP19A1@inh ESR1@act ESR1@inh
C0233763,DRD2@act DRD3@act DRD4@act DRD5@act
C0242973,CYP3A7
C0751623,CYP1B1@inh
C1260880,OPRD1@act OPRK1 OPRM1@act
C0018418,CYP2B6 SLC6A2 SLC6A4@inh
C0003811,ADRA2A@act
C0005758,CYP1A2@inh
C0009676,GABRA2 GABRA3 GABRA5 GABRB2 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP
C0016382,CYP2D6 HTR2B
C0017168,CYP2D6 CYP3A4
C0019112,SLC6A3 SLC6A4
C0022658,SLC15A1
C0027697,CYP2C9@inh
C0028738,TSPO
C0032285,CYP2B6@inh
C0040034,PTGS1 PTGS2 PTGS2@inh
C0042769,CYP3A4
C0086168,ABCB1 ABCB1@act ABCB1@inh ABCB5 TBC1D9
C0151626,CYP2B6@act CYP3A4@act CYP3A4@inh
C0151849,CYP3A4
C0151878,ADRA1A@inh CYP2D7P1 CYP3A7
C0151878,CYP3A4 CYP3A4@inh
C0344232,CYP2D6 CYP2D6@inh SLC6A4
C0013390,CYP2C19
C0016436,NR3C1@act
C0038325,CYP2C9 PTGS1@inh UGT2B7
C0086565,CYP2C8 CYP3A7@act
C0000729,CYP3A4 CYP3A7
C0002453,MAOB
C0004096,HTR2C HTR2C@inh
C0010709,CYP2C9 CYP3A4
C0011633,CYP2C9@act LDLCQ3 LDLCQ3@inh
C0014518,CYP2B6@act CYP3A4@act CYP3A4@inh
C0017565,CYP3A4 CYP3A5
C0018418,HRH2@inh
C0022638,CHRM5@inh HTR1B@inh HTR6@inh
C0033975,MAOB@inh
C0035078,UGT1A4
C0036974,CYP1A1@inh CYP3A4 CYP3A7
C0042024,CYP2B6@inh
C1536403,GSTA1
C0003873,DRD2@act HTR1B HTR1D HTR2A HTR2B HTR7
C0018926,HTR1E HTR2B
C0042023,HTR2A HTR2C
C0042035,CYP2D6 SLC6A2
C0151826,CYP3A4
C0456909,ABCB1 ABCB5 TBC1D9
C0007286,CYP19A1 CYP19A1@inh
C0013146,OPRL1
C0014743,CYP2B6 CYP2C9
C0020458,SLC6A2@inh SLC6A4
C0023218,CYP1A2 CYP2C9 CYP3A4
C0032226,LCK
C0035455,CYP3A4
C0042131,HTR1A@act
C0013144,GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRG1
C0027769,CYP2C9 PTGS1@inh
C0043096,CYP3A5
C0151786,CYP1A2 CYP3A4
C0151904,CYP2D6 CYP2D6@inh HTR2C@inh
C0233414,OPRK1
C0233762,SLC6A3@inh
C0235146,CYP2B6
C0270612,CYP3A5
C1306341,HTR2C@inh
C0002994,SLC15A1 SLC15A1@inh
C0018802,HTR2A
C0018926,CYP2C19@inh
C0023066,CYP2D6 HTR1B HTR5A
C0023533,CYP2B6@inh
C0237849,RXRA
C0857305,ADRB1@inh
C0009241,CYP2D7P1
C0015397,CYP2D6 CYP2D6@inh SLC6A4
C0017086,ADRA2A@act DRD4@act
C0027066,OPRK1@act
C0029882,CYP3A4
C0037317,MAOA@inh MAOB@inh
C0037383,DRD2@act DRD5@act HTR1B HTR1B@inh HTR1D
C0151571,SLC6A4@inh
C0235347,KCND3 SLC6A2 SLC6A2@inh SLC6A3 SLC6A4@inh
C0241705,ADRB2@inh ADRB3
C0333355,CYP1B1
C0541798,SLC6A2 SLC6A2@inh SLC6A3
C0542184,ABCC8
C0003864,AGTR1@inh
C0017181,CYP2B6@inh CYP2C9@inh
C0018834,CYP2C9 UGT1A4
C0022354,LDLCQ3 LDLCQ3@inh
C0022354,SLC12A3 SLC12A3@inh
C0030196,CYP2D7P1 HTR2B HTR2C
C0038454,KCNH2 KCNH2@inh
C0040460,AGTR1 AGTR1@inh
C0042401,SLC6A4 SLC6A4@inh
C0392684,CYP2D6@inh
C0015371,HTR3B HTR3C HTR3D HTR3E
C0027697,CYP1A2 CYP1A2@inh
C0029408,DRD3@act DRD4@act DRD5@act
C0038450,CHRM1
C0038663,ADRA2B@inh HTR1D HTR2C@inh SLC6A4
C0040264,CYP3A7
C0085614,HTR2A OPRK1 PTAFR
C0086132,CYP2D6 HTR1B HTR1D SLC6A4
C0235150,DRD3@act DRD4@act DRD5@act
C0235198,HTR1B HTR1D
C0004936,CYP3A4
C0009421,CYP2B6@inh
C0009676,CYP2C9
C0019209,CYP2D7P1
C0033860,ADRB1@inh
C0036454,CYP2B6@inh
C0085606,CHRM1 CHRM2
C0086565,PTGS1@inh PTGS2 PTGS2@inh
C0232462,CYP2D6 HTR2C
C0008325,CYP1A2 CYP2C9
C0035078,UGT1A1
C0035309,ABCB1 ABCB1@inh EBP
C0035357,ADRB1 ADRB2 HTR2B HTR6
C0085595,CYP2E1
C0085641,SLC6A4 SLC6A4@inh
C0151578,DCK
C0152198,HTR1F
C0232492,HTR1D HTR2B HTR2C HTR2C@inh
C0235086,HTR2C
C0341697,UGT1A4
C0857121,ADRB1 ADRB1@inh
C0009324,CYP2C19@inh
C0014852,CYP2C9 PTGS2 PTGS2@inh
C0018021,CYP3A4 HTR2B
C0019112,CYP2C9 CYP3A4
C0020639,HTR1D@inh PTAFR
C0023308,CALML3 CALN1
C0026821,ESR1@act
C0027092,CA14 CA4@inh CA5A CA5B CA6 CA7
C0030252,CYP2D6 SLC6A4 SLC6A4@inh
C0033777,ESR1@act
C0040034,CYP2D6@inh HTR2C@inh
C0041834,CYP1A2 CYP1A2@inh
C0234458,OPRK1
C0242350,CYP3A5 CYP3A5@inh CYP3A7
C0264893,KCNH2@inh
C0018099,AGTR1@inh CYP2C9
C0019209,CYP3A4@inh
C0020580,SLC6A4
C0031350,AGTR1@inh
C0034882,CYP3A4@inh
C0038367,CYP2C19 CYP2C19@inh
C0242350,MAOB MAOB@inh
C0002962,HTR1B@act HTR1D@act
C0009676,HTR2B
C0020295,CYP3A4@inh
C0027540,ALOX5
C1527340,CYP2B6@inh
C0011609,CYP3A5
C0014457,PTGS1 PTGS2
C0020456,SLC12A1 SLC12A1@inh
C0020625,ACE
C0085594,CYP2C9 UGT2B7
C0149744,CYP1A2@inh
C0233632,HTR2C@inh
C0349506,CYP1A2
C0002170,CYP2D6 HTR2A HTR2B
C0036416,PTGS1
C0162323,CYP3A4@inh
C0242350,ABCB1 ABCB1@inh
C0740394,SLC12A3 SLC12A3@inh
C1096250,HTR1A@act
C1458140,PTGS1
C2979982,CYP19A1@inh CYP3A5
C0002878,ABCC8
C0011603,CYP2B6@inh
C0018418,CYP2C8@inh
C0018944,CYP3A4
C0021308,HTR1A@act HTR1B@act HTR1D@act
C0021843,ADRA2B@inh DRD2@act HTR1D@inh HTR2B
C0022593,CACNA1C CACNA1D CACNA1F CACNA1S
C0023267,HTR2C SLC6A4@inh
C0023448,TOP2B TOP2B@inh
C0026986,TOP2B TOP2B@inh
C0032776,AR@inh
C0042510,KCNH2
C0149871,CYP3A4
C0151603,CYP3A4
C0151691,RXRA
C0151838,MAOA MAOB@inh
C0162281,IL8 PTGS1@inh PTGS2 PTGS2@inh
C0162823,RXRA
C0227791,HTR1D@inh HTR2C@inh
C0233523,CACNA1B
C0235295,IL8 PTGS2@act
C0341742,PGD PGD@inh
C0424092,AGTR1 AGTR1@inh
C0522224,SCN5A
C0541820,AR@inh ESR1@inh
C0558368,AR@inh ESR1@inh
C0877055,CACNA1C CACNA1D CACNA1F CACNA1S
C1145628,CYP2C19
C1704212,AOX1
C0009319,CYP2C19@inh
C0022408,CYP2D6 CYP2D6@inh HTR2C@inh
C0026827,CYP2B6@inh
C0038362,CYP2C19@inh
C0151632,HTR2C@inh
C0152032,SLC6A2 SLC6A2@inh SLC6A4
C1704628,GABRA1@act
C0002792,CYP2C8
C0011849,CYP2B6@inh CYP3A4@inh
C0024141,SCN5A SCN5A@inh
C0024894,HTR2A SLC6A4
C0030554,CYP3A4@inh HTR2C@inh
C0085606,OPRK1
C0151559,CYP2C8@act CYP2C9 CYP2C9@act
C0151991,OPRK1
C0497156,CYP2B6@inh
C0857305,DRD5@inh HTR5A
C0011124,CYP2C9
C0013687,LCK
C0030252,ACE
C0033046,HTR2C
C0039520,CYP2C9
C0043037,CYP3A4@inh
C0242073,CYP2D6
C0678222,CYP2C8
C0746883,CYP1B1 CYP1B1@inh
C0002871,CYP3A5
C0011991,PTGS1
C0017601,MAOB@inh
C0018932,HTR2B
C0020615,CYP2B6@inh
C0085636,HTR1A@act
C0232197,HTR1B HTR1D HTR1E HTR1F
C0392386,CES1
C0860803,CYP2D6@inh CYP3A4 HTR2C@inh
C0002170,CYP1A2 CYP2C19
C0003537,HTR1F
C0018801,ADRB1 ADRB1@inh CYP2D6
C0027947,TOP2B TOP2B@inh
C0028643,HTR1A
C0031256,ADORA3
C0040822,CYP2B6
C0151315,CYP3A7
C0233414,HTR1B HTR1D HTR7
C0270458,SLC6A4 SLC6A4@inh
C0349506,ACE
C0547030,ADRB1 ADRB1@inh
C0002622,CYP3A5
C0014868,CYP3A4
C0018939,CALM1
C0020701,HRH1 HRH1@inh
C0021845,PTGS1
C0029928,CYP2B6@inh
C0030252,ADRB2
C0038354,OPRK1 SLC6A4
C0235270,ADRA2B ADRA2C
C0235763,ADRA2C
C0542184,ALOXE3
C0011071,SLC6A3
C0017574,CYP3A7
C0033117,CYP2C19
C0009951,SLC6A4@inh
C0013456,HTR2C@inh
C0020443,ADRA2A ADRA2C@act
C0030312,CYP2C19@inh CYP2C9@inh
C0038362,SLC6A4@inh
C0042131,CYP19A1@inh
C0085649,CHRM3 CHRM5
C0085680,CA5A
C0151747,ABCB1
C0151827,HTR2C@inh
C0241705,CHRM3@inh
C0917801,PTGS2
C0002418,CYP2B6
C0003467,HTR1F
C0013491,SLC6A4
C0016199,MAOB@inh
C0019360,CYP2C9
C0020542,SLC6A4@inh
C0020557,HTR2C@inh
C0026205,ACHE@inh
C0026205,OPRD1@act OPRK1 OPRM1@act
C0027051,CYP1A2
C0030286,GSTA1
C0030552,LDLCQ3 LDLCQ3@inh
C0035243,CYP3A4 SLC6A4
C0035309,FMO1
C0041834,CYP1A1
C0042133,SLC6A4@inh
C0043352,MAOB
C0043387,OPRK1
C0162297,SCN10A SCN10A@inh
C0233407,CYP2B6 ORM1 ORM2
C0235750,SLC6A4@inh
C0243026,CYP1B1@inh
C0264906,KCNH2
C0541919,KCNH2
C0877359,ESR1@inh
C1306577,DRD4@inh
C0010200,CYP3A4
C0013295,DRD5@act
C0014742,UGT1A1
C0015402,CHRM1 HTR1B@inh HTR1E HTR2A HTR6@inh
C0028084,CHRNA4
C0392162,MAOB
C0595877,CYP3A4@inh CYP3A5
C0011606,CYP2C9@inh
C0018099,HTR2C@inh
C0020651,CYP2B6@inh
C0024141,CYP1A2 CYP1A2@act
C0034150,ABCB1@inh
C0600142,CYP3A4 ESR1 ESR1@act
C0011551,HTR1B@act HTR1D@act
C0015371,SLC6A3
C0019079,HTR1D@inh
C0020649,ORM1 ORM2
C0021167,OPRK1
C0023222,LDLCQ3 LDLCQ3@inh
C0023467,TOP2B TOP2B@inh
C0023533,TOP2A TOP2A@inh
C0031212,CYP1A2
C0038358,HTR2B
C0039070,ACE
C0151311,SCN10A SCN10A@inh
C0151779,CYP2B6@inh
C0162281,EBP
C0162298,HTR2C
C0232197,HTR3A@inh
C0235074,HTR1D@inh
C0240035,GSTA1
C0264267,FMO1
C0392703,CACNA1B CACNA1D CACNA1F CACNA1S
C0474381,PDE5A PDE5A@inh
C0542203,ABCC8
C0878544,TOP2A TOP2A@inh
C0006625,BCHE@inh
C0008031,ACE
C0012569,GABRB2 GABRG1
C0015914,CYP2C8@act
C0026837,CYP3A7
C0028960,ABCB1
C0039070,HTR3A
C0085593,CYP2C9
C0151763,ABCB1@inh
C0151991,CYP2C19@inh
C0233407,GRIN1
C0239981,CYP3A5
C0242184,CYP3A4
C0242656,GSTA1
C0340464,HTR2C@inh
C0344320,ADRB3
C0700590,CYP1A2
C0851578,HTR1F
C0870082,BCHE@inh
C1761613,PTGFR
C0011606,ACE
C0030846,CYP2D6
C0031542,CYP2B6
C0034150,SLC12A3 SLC12A3@inh
C0035455,UGT1A4
C0040128,CYP3A4@act
C2225524,CYP3A7
C0001824,CYP1A2@act
C0001824,CYP2D7P1
C0007787,BCHE@inh
C0008031,HTR2C@inh
C0013428,SLC6A2
C0014742,CYP2B6@inh
C0018621,SLC6A4
C0027769,HTR2B
C0031046,ALOX5@inh
C0031085,CYP3A4@inh
C0033377,HTR2C
C0033893,SLC6A4
C0037383,CHRNA10
C0043094,SLC6A3
C0311468,TOP2A TOP2A@inh
C0522063,OPRK1
C0595930,OPRK1
C0002962,ADRA1B@inh
C0002962,DRD2@act
C0011606,ABCB1
C0020456,UGT1A1
C0039240,HTR4
C0085594,CYP2B6
C0151626,CA4
C0151717,CYP2D6
C0234518,CYP3A7
C0234987,ADRA2B
C0235290,ADRA2B@inh
C0235567,CYP2B6
C0268000,UGT1A1
C0392525,DRD5@act
C0423791,ADRA1B@inh
C0683278,CYP2B6 OPRM1@act
C0686347,CYP2B6@inh
C2939147,DRD5@act
C0013144,IL8
C0013144,SIGMAR1
C0014591,CYP2C19@inh
C0022081,PTGFR
C0023533,CYP2C19
C0030312,GSTA1
C0039070,OPRK1@act
C0041912,AGTR1@inh
C0242350,ADRB1@inh
C0700184,FMO1
C0009319,CYP2B6@inh
C0015376,TOP2B TOP2B@inh
C0022107,SLC6A2
C0022573,HTR1A@inh HTR2C@inh
C0025320,SLC6A2@inh SLC6A4@inh
C0026827,AOX1
C0028778,CYP1B1@inh
C0036974,OPRM1
C0037763,CA4
C0151798,UGT2B7
C0238148,CYP2D6
C0438717,ADRA2B@inh
C0558489,CYP2C19@inh
C0002962,PDE5A PDE5A@inh
C0013922,HTR1D@inh
C0014591,PTGS1
C0021311,CYP2C9
C0040038,NR3C1@act
C0232286,MAOA
C1257843,SLC15A1
C1257843,TOP2A TOP2A@inh
C1258215,CYP1B1
C2939186,CYP19A1@inh
C0013384,HTR2C HTR2C@act HTR2C@inh
C0013384,ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh ADRA2C@inh DRD5 DRD5@act DRD5@inh HTR1A HTR1A@act HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR3A HTR3A@inh HTR5A HTR6@inh HTR7@inh KCNH2 PTAFR TBXA2R
C0013384,DRD4 DRD4@act DRD4@inh
C0013384,DRD3 DRD3@act DRD3@inh
C0013384,ADRA1D DRD2 DRD2@act DRD2@inh HTR2B
C0013384,ADRA2B ADRA2C DRD1 DRD1@inh HRH3 HTR6 HTR7
C0013384,ADRA1A@inh CYP1A2 CYP2D6 CYP2D6@inh SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0013384,ADRA1A CALML3 CALN1 CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh HRH1 HRH1@inh HRH2 HRH4
C0085637,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2B ADRA2B@inh ADRA2C CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2B HTR2C HTR3A HTR3A@inh HTR5A HTR6 HTR6@inh HTR7 KCNH2 PTAFR SLC6A4 TBXA2R
C0033687,IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR UGT2B7
C0004134,CYP3A4 GABRA1 GABRA2 GABRA3 GABRA4 GABRA5 GABRA6 GABRB1 GABRB2 GABRB3 GABRD GABRE GABRG1 GABRG2 GABRG3 GABRP GABRQ GABRR1 GABRR2 GABRR3 TSPO
C0043352,ADRA1A ADRA1A@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh DRD1 DRD2 DRD3 DRD3@inh DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HTR1A HTR1A@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR3A HTR6 HTR7 SLC6A2 SLC6A4
C0040485,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0156404,ADRA1A ADRA1B ADRA2A ADRA2B ADRA2C CYP3A5 DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh EBP HRH1 HTR1A HTR1B HTR1D HTR1E HTR2A HTR2A@inh HTR2C HTR5A HTR6 HTR7 SIGMAR1 SLC6A4
C0018802,CYP2C9 IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh
C0020649,ADRA1A@inh ADRA2A ADRA2A@inh ADRA2B ADRA2C HTR1D HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR5A HTR6
