UMLS code of SE,all proteins
C2937350,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh ADRA2C@inh CHRM1 CHRM1@inh CHRM2@inh CHRM3@inh CHRM4@inh CHRM5 CHRM5@inh CYP2D6 CYP2D6@inh DRD1@inh DRD2 DRD2@act DRD3@inh DRD4@inh DRD5@inh HRH1 HRH1@inh HTR1A@inh HTR1B@inh HTR1D@inh HTR1E HTR1F HTR2A HTR2A@inh HTR2C HTR2C@inh HTR3A HTR3A@inh HTR6@inh HTR7 HTR7@inh OPRK1 PTAFR SLC6A4 TBXA2R
C0553721,CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh
C0600097,DRD1@inh DRD2@inh DRD3@inh DRD4@inh DRD5@inh HRH1 HRH1@inh HTR2A@inh
C0020651,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CYP2D6
C0015371,ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRA2C@inh CHRM1 CHRM5@inh CYP2D6 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD2@act DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR3A@inh HTR6 HTR7 HTR7@inh KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C1112442,CHRM1 CHRM2 CYP2B6 CYP2B6@inh CYP2D6 CYP2D6@inh HTR2C SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C2225524,ADRA1A ADRA1A@inh ADRA2A ADRA2A@inh CYP2B6 CYP2C19 CYP2D6 CYP2D6@inh CYP3A4 DRD2 DRD3@inh HRH1 HTR1A HTR1A@inh HTR2A HTR2A@inh HTR2C SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0038362,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0022667,IL8 PTGS1 PTGS1@inh PTGS2 PTGS2@inh TTR UGT1A1 UGT2B7
C0242350,ADRA1A ADRA1A@inh ADRA1B@inh ADRA2A CHRM1 CYP2D6 CYP2D6@inh DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR2A HTR2B HTR2C HTR5A HTR6 HTR7 SLC6A2 SLC6A4 SLC6A4@inh
C0424448,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B ADRA2B@inh ADRA2C ADRB1 CHRM1 CHRM2 CHRM3 CHRM5 DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH1@inh HRH2 HTR1A HTR1A@inh HTR1B HTR1B@inh HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2B HTR2C HTR2C@inh HTR3A HTR5A HTR6 HTR6@inh HTR7 KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0152032,CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh
C0235238,CHRM1 CHRM1@inh CHRM2 CHRM2@inh CHRM3 CHRM3@inh CHRM4 CHRM4@inh
C0004245,ADRB1 ADRB1@inh ADRB2 ADRB2@inh ADRB3 HTR1B@inh HTR1D@inh
C0020514,CHRM1 SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0020461,ACE ACE@inh
C0085281,ADRA1A@inh ADRA1D ADRA1D@inh CHRM4@inh CHRM5 CHRM5@inh HRH1@inh HTR2A@inh KCND3 SLC6A2 SLC6A2@inh SLC6A3 SLC6A4 SLC6A4@inh
C0234047,ADRA2A CHRM1 CHRM2 CYP2B6@inh CYP2D6 CYP2D6@inh HTR2A HTR2C HTR4 HTR7 OPRK1 SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0553731,ADRA1A@inh ADRA1B ADRA1B@inh ADRA2A ADRA2A@inh ADRA2B@inh CHRM1 CHRM2 CYP2D6@inh DRD1 DRD1@inh DRD2 DRD3 DRD4 DRD5 DRD5@inh HTR1A HTR1A@inh HTR1B HTR1D HTR1D@inh HTR1E HTR2A HTR2A@inh HTR2C HTR2C@inh HTR5A HTR6 HTR7 KCNH2 OPRK1 PTAFR SLC6A4 TBXA2R
C0392676,ADRA1A ADRA1B ADRA2A ADRA2B ADRA2C CALM1 CALML3 CALN1 CHRM1 CHRM2 CHRM3 CHRM4 CHRM5 DRD1 DRD1@inh DRD2 DRD2@inh DRD3 DRD3@inh DRD4 DRD4@inh DRD5 DRD5@inh HRH1 HRH2 HRH4 HTR1A HTR1B HTR2A HTR2A@inh HTR2C HTR5A HTR6 HTR7
C0040479,ABCB1@inh ADRA1A ADRA1A@inh CYP1A2 CYP1A2@inh CYP2D6 CYP2D6@inh CYP3A4 CYP3A4@inh CYP3A5 CYP3A7 DRD4@inh KCNH2 KCNH2@inh
C0038587,CYP2D6 CYP2D6@inh CYP3A4 CYP3A4@inh HTR1A@inh HTR1D@inh HTR2A HTR2C HTR2C@inh OPRD1@act OPRK1 OPRK1@act OPRM1@act SLC6A4
C0040264,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0442886,NR3C1 NR3C1@act
C1688637,ADRA1A ADRA1A@inh ADRA1B ADRA1B@inh ADRA1D ADRA1D@inh
C0575081,ADRA1A@inh ADRA1B@inh ADRA2A@inh ADRA2B@inh CYP2B6@inh CYP2D6 HTR1A@inh HTR1E HTR2C HTR2C@inh OPRK1 PTAFR SLC6A4 SLC6A4@inh
C0017152,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0854467,TOP2A TOP2A@inh TOP2B TOP2B@inh
C0151664,ALB PTGS1 PTGS1@inh PTGS2 PTGS2@act PTGS2@inh TTR
C0013395,CYP2C9 PTGS1 PTGS1@inh PTGS2 PTGS2@inh
C0018926,PTGS1 PTGS1@inh PTGS2 PTGS2@inh UGT2B7
C0497247,ADRA2A SLC6A2 SLC6A2@inh SLC6A3 SLC6A3@inh SLC6A4 SLC6A4@inh
C0040822,ADRA1A@inh ADRA1B@inh ADRA2A CYP1A2 DRD1 DRD2 DRD2@inh DRD3 DRD3@inh DRD5 DRD5@inh HRH1 HRH1@inh HTR1A HTR1A@inh HTR1B HTR1E HTR2A HTR2A@inh HTR2C HTR2C@inh HTR3A HTR6 HTR7
C0006266,ADRB1 ADRB1@inh ADRB2@inh ADRB3
